start	end	text
0	5400	85 billion. It's a number that doesn't really compute in your head, does it? It's too big.
5500	12420	It's completely abstract. But let's try for a second to ground it. We're talking 85 billion
12420	17100	neurons. That's the best guess we have right now for what's inside your skull. And that's not even
17100	22040	the whole story. Not even close. You have to add another 85 billion glial cells, just sort of,
22060	26780	you know, keeping the lights on. And just to make the problem even bigger, that's only what's inside
26780	32240	the cranium. We're not even touching the spinal cord or the enteric nervous system, you know,
32280	37000	the second brain around your intestines. Which has more neurons than a cat's entire brain,
37100	42520	by the way. Right. It's just the scale is staggering. So you have this biological system of such
42520	48840	overwhelming, almost ludicrous complexity that the numbers just start meaning anything. It is,
48920	53920	and I don't think this is hyperbole, the most complex object in the known universe. It's the
53920	58400	ultimate hardware. But here's the question that really gets me. And it's kind of the whole mission
58400	64860	for our deep dive today. How on earth do we, with our very, very limited minds, even start to wrap
64860	70460	our heads around something that complex? It feels like trying to, I don't know, download the internet
70460	75300	onto an old floppy disk. It's the ultimate paradox, isn't it? The brain trying to understand the brain.
75420	81300	It's this perfect recursive loop that neuroscience has been wrestling with since, well, forever.
81300	84640	Right. And usually when you read a pop neuroscience book or listen to a show,
84720	90000	you get these really neat, tidy little stories. This part of the brain is for fear. This chemical
90000	96240	makes you happy. The brain is a computer. Exactly. But today, today we're going to kind
96240	101000	of ruin all that for you. In a good way, hopefully. Yeah. We're going to peel back the layers and look
101000	106220	at the messy, complicated structure underneath. We're taking a deep dive into a really fascinating,
106220	111680	and I have to say pretty dense work by M. Chiramuta. It's called The Brain Abstracted,
111920	115000	Simplification in the History and Philosophy of Neuroscience.
115220	120060	And the whole point today is to explore this, this fundamental tension at the heart of science
120060	128020	itself. Which is the tension between the chaotic, hyper-complex reality of biology and our very human,
128180	131000	very deep-seated need for simple, elegant rules.
131000	135900	And Chiramuta's core argument here is really going to challenge how you think about science.
136220	140220	We have this idea of science as a mirror, right? You just hold it up to nature and it reflects the
140220	144640	truth. Sure. That's the classic view. Scientific realism, the God's eye view, as they call it. You
