second,rms_db,center_db,noncenter_db,barrage,drum,harsh,burden,center_adv,lufs,level_db,audible,dialogue_proxy,sub_coverage,dialogue_sub,rel_db,occupied,in_block,recovery_debt,omega,omega_resid
0,-87.45755689932481,-100.0,-90.20235748648369,-0.4071577775823411,-0.1715603130769301,0.0,0.07397445214558608,-9.797642513516308,-92.08916921993503,-92.08916921993503,False,False,0.0,False,-57.53514492727607,False,False,0.0,0,0
1,-34.01758857338489,-100.0,-37.03663276893268,-0.41421706849984086,-0.11689050184948521,0.9042849765156792,0.22572684208743543,-62.96336723106732,-22.796948304651945,-22.796948304651945,True,False,0.0,False,11.757075988007013,True,False,1.7570759880070135,1,1
2,-37.90220831690772,-100.0,-40.915026851861,-0.36317980317717524,-0.06657896893618288,0.7303560249689666,0.2639382688827467,-59.084973148139,-27.995916791681907,-27.995916791681907,True,False,0.0,False,6.5581075009770515,False,False,1.7570759880070135,0,0
3,-45.389317816075774,-100.0,-48.40053283438805,-0.4568800666326546,-0.551005406235511,0.6489759530527845,0.16739052215521863,-51.59946716561195,-35.61803819956267,-35.61803819956267,True,False,0.0,False,-1.0640139069037104,False,False,1.7570759880070135,0,0
4,-50.843250038587875,-100.0,-53.84189398444264,-0.5802013365981431,-0.8263178182430132,-0.0741429590702469,0.117996068828705,-46.15810601555736,-41.49119878242142,-41.49119878242142,True,False,0.0,False,-6.937174489762462,False,False,1.7570759880070135,0,0
5,-44.73074717087711,-100.0,-47.71167154510478,-0.3505382062644044,-0.6566439595564451,6.576539945299277,0.2777003195645267,-52.28832845489522,-33.3637260659629,-33.3637260659629,True,False,0.0,False,1.1902982266960578,False,False,1.7570759880070135,1,0
6,-36.050860607660404,-100.0,-38.99660573105101,0.16679747632853498,-0.5397419501482211,17.174687434919747,0.34300256106922866,-61.00339426894899,-18.746765176306052,-18.746765176306052,True,False,0.0,False,15.807259116352906,True,False,7.56433510435992,2,2
7,-63.58291505030847,-100.0,-66.56234152456665,-0.3807440568805611,-0.3252024755103978,1.7439590602336803,0.09917964223422837,-33.43765847543335,-41.70833791972713,-41.70833791972713,True,False,0.0,False,-7.15431362706817,False,False,0.0,1,0
8,-83.48304762301058,-100.0,-86.42075429453055,-0.5446537172199443,-0.5275296600245863,0.0,0.01634834714198719,-13.579245705469447,-65.69484530690643,-65.69484530690643,False,False,0.0,False,-31.14082101424747,False,False,0.0,0,0
9,-97.52700321705657,-100.0,-99.14275040763174,-0.6910350944233803,-0.6935149827485134,0.0,0.0011588560082822015,-0.8572495923682624,-81.12816158539536,-81.12816158539536,False,False,0.0,False,-46.5741372927364,False,False,0.0,0,0
10,-100.0,-100.0,-100.0,-0.6938516108046145,-0.6935149827485134,0.0,7.982609334593105e-05,0.0,-105.17844653103492,-105.17844653103492,False,False,0.0,False,-70.62442223837596,False,False,0.0,0,0
11,-67.02074670790603,-68.06375783723209,-69.11766311254695,-0.6990959954252708,-0.7206253452222761,0.0028626305040848,0.002767956458084387,1.053905275314861,-60.26365856150092,-60.26365856150092,False,False,0.0,False,-25.70963426884196,False,False,0.0,1,1
12,-60.57054132370076,-62.35282472401594,-62.68738468907927,-0.8002852148192307,-0.9031167409569427,0.0609119839192375,0.012043577282620775,0.33455996506333463,-51.76407192172956,-51.76407192172956,True,False,0.0,False,-17.2100476290706,False,False,0.0,1,1
13,-57.65478958959552,-59.18192140705638,-59.78374694595142,-0.8449416985439252,-0.9608658581977555,0.0444403789790709,0.021360787506528613,0.6018255388950422,-49.64481440467533,-49.64481440467533,True,False,0.0,False,-15.090790112016371,False,False,0.0,1,1
14,-56.12703449878499,-58.40520346091048,-58.25415296819162,-0.8707298697282002,-0.9836202136683692,0.0507248889969036,0.028611650185001964,-0.15105049271885918,-46.77432367371786,-46.77432367371786,True,False,0.0,False,-12.2202993810589,False,False,0.0,1,1
15,-54.90880895523357,-57.41688131064245,-57.03349655637333,-0.8768829256907196,-0.9943974851996361,0.052918729408313,0.03357097969795352,-0.3833847542691231,-45.58222383006755,-45.58222383006755,True,False,0.0,False,-11.02819953740859,False,False,0.0,1,1
