clip,category,rank,event_time,event_seconds,event_offset_in_clip,score,level_db,label,notes
drum/01_01-22-49_score-4.09.mp3,DRUM_RUN,1,01:22:49.06,4969.06,12.0,4.093,-39.9,,
drum/02_00-14-36_score-4.00.mp3,DRUM_RUN,2,00:14:36.90,876.9,12.0,3.997,-35.8,,
drum/03_01-22-55_score-3.74.mp3,DRUM_RUN,3,01:22:55.65,4975.65,12.0,3.74,-48.2,,
drum/04_00-06-52_score-3.42.mp3,DRUM_RUN,4,00:06:52.96,412.96,12.0,3.416,-42.1,,
drum/05_00-42-45_score-3.40.mp3,DRUM_RUN,5,00:42:45.66,2565.66,12.0,3.395,-39.5,,
drum/06_00-23-23_score-3.16.mp3,DRUM_RUN,6,00:23:23.62,1403.62,12.0,3.155,-49.8,,
drum/07_00-06-46_score-3.14.mp3,DRUM_RUN,7,00:06:46.11,406.11,12.0,3.142,-35.7,,
drum/08_00-39-48_score-3.12.mp3,DRUM_RUN,8,00:39:48.10,2388.1,12.0,3.117,-40.3,,
drum/09_01-03-28_score-3.07.mp3,DRUM_RUN,9,01:03:28.51,3808.51,12.0,3.071,-40.5,,
drum/10_00-21-25_score-3.01.mp3,DRUM_RUN,10,00:21:25.95,1285.95,12.0,3.012,-36.2,,
drum/11_00-14-32_score-2.98.mp3,DRUM_RUN,11,00:14:32.35,872.35,12.0,2.984,-37.1,,
drum/12_00-13-24_score-2.91.mp3,DRUM_RUN,12,00:13:24.42,804.42,12.0,2.908,-34.2,,
drum/13_00-13-09_score-2.82.mp3,DRUM_RUN,13,00:13:09.57,789.57,12.0,2.825,-45.8,,
drum/14_00-14-27_score-2.72.mp3,DRUM_RUN,14,00:14:27.58,867.58,12.0,2.723,-40.3,,
drum/15_01-22-36_score-2.69.mp3,DRUM_RUN,15,01:22:36.03,4956.03,12.0,2.693,-42.4,,
drum/16_00-37-15_score-2.58.mp3,DRUM_RUN,16,00:37:15.07,2235.07,12.0,2.583,-25.5,,
drum/17_01-23-13_score-2.58.mp3,DRUM_RUN,17,01:23:13.50,4993.5,12.0,2.577,-34.8,,
drum/18_01-20-16_score-2.58.mp3,DRUM_RUN,18,01:20:16.64,4816.64,12.0,2.577,-33.1,,
drum/19_01-18-04_score-2.58.mp3,DRUM_RUN,19,01:18:04.03,4684.03,12.0,2.577,-19.4,,
drum/20_00-36-23_score-2.56.mp3,DRUM_RUN,20,00:36:23.36,2183.36,12.0,2.558,-22.0,,
swell/01_00-56-07_score-35.99.mp3,SWELL,1,00:56:07.00,3367.0,4.0,35.992,-46.9,,
swell/02_00-36-17_score-35.35.mp3,SWELL,2,00:36:17.50,2177.5,4.0,35.345,-45.1,,
swell/03_00-24-48_score-31.90.mp3,SWELL,3,00:24:48.25,1488.25,4.0,31.898,-49.1,,
swell/04_00-52-38_score-30.81.mp3,SWELL,4,00:52:38.25,3158.25,4.0,30.809,-47.0,,
swell/05_00-12-21_score-28.24.mp3,SWELL,5,00:12:21.75,741.75,4.0,28.242,-45.0,,
swell/06_01-24-18_score-28.03.mp3,SWELL,6,01:24:18.25,5058.25,4.0,28.031,-48.5,,
swell/07_01-23-48_score-27.29.mp3,SWELL,7,01:23:48.75,5028.75,4.0,27.286,-62.5,,
swell/08_01-26-28_score-27.13.mp3,SWELL,8,01:26:28.25,5188.25,4.0,27.134,-53.3,,
swell/09_00-53-01_score-27.11.mp3,SWELL,9,00:53:01.75,3181.75,4.0,27.11,-40.7,,
swell/10_00-55-02_score-27.02.mp3,SWELL,10,00:55:02.00,3302.0,4.0,27.025,-40.7,,
swell/11_01-03-25_score-26.17.mp3,SWELL,11,01:03:25.25,3805.25,4.0,26.17,-54.1,,
swell/12_00-44-08_score-25.00.mp3,SWELL,12,00:44:08.50,2648.5,4.0,24.996,-36.5,,
swell/13_00-31-56_score-24.46.mp3,SWELL,13,00:31:56.75,1916.75,4.0,24.457,-49.7,,
swell/14_00-01-55_score-23.98.mp3,SWELL,14,00:01:55.50,115.5,4.0,23.978,-44.7,,
swell/15_00-48-11_score-23.78.mp3,SWELL,15,00:48:11.25,2891.25,4.0,23.775,-42.8,,
swell/16_00-01-28_score-23.42.mp3,SWELL,16,00:01:28.50,88.5,4.0,23.419,-42.8,,
swell/17_00-00-48_score-23.40.mp3,SWELL,17,00:00:48.75,48.75,4.0,23.401,-39.1,,
swell/18_01-06-12_score-21.32.mp3,SWELL,18,01:06:12.75,3972.75,4.0,21.319,-35.8,,
swell/19_00-26-11_score-21.12.mp3,SWELL,19,00:26:11.00,1571.0,4.0,21.124,-37.3,,
swell/20_00-08-11_score-19.45.mp3,SWELL,20,00:08:11.50,491.5,4.0,19.45,-41.4,,
impact/01_01-03-09_score-28.10.mp3,IMPACT,1,01:03:09.47,3789.47,12.0,28.097,-33.8,,
impact/02_00-29-20_score-27.59.mp3,IMPACT,2,00:29:20.74,1760.74,12.0,27.586,-38.6,,
impact/03_01-15-09_score-27.48.mp3,IMPACT,3,01:15:09.15,4509.15,12.0,27.483,-24.3,,
impact/04_00-01-49_score-27.27.mp3,IMPACT,4,00:01:49.09,109.09,12.0,27.27,-46.0,,
impact/05_00-16-45_score-27.16.mp3,IMPACT,5,00:16:45.70,1005.7,12.0,27.156,-45.4,,
impact/06_00-12-55_score-26.25.mp3,IMPACT,6,00:12:55.68,775.68,12.0,26.246,-38.1,,
impact/07_00-34-17_score-25.42.mp3,IMPACT,7,00:34:17.31,2057.31,12.0,25.424,-43.1,,
impact/08_01-15-33_score-24.17.mp3,IMPACT,8,01:15:33.47,4533.47,12.0,24.165,-32.6,,
impact/09_00-09-49_score-23.12.mp3,IMPACT,9,00:09:49.47,589.47,12.0,23.119,-39.6,,
impact/10_00-28-49_score-22.70.mp3,IMPACT,10,00:28:49.47,1729.47,12.0,22.698,-42.0,,
impact/11_01-22-03_score-22.67.mp3,IMPACT,11,01:22:03.33,4923.33,12.0,22.668,-37.8,,
impact/12_00-34-19_score-22.40.mp3,IMPACT,12,00:34:19.20,2059.2,12.0,22.398,-46.1,,
impact/13_00-59-29_score-22.25.mp3,IMPACT,13,00:59:29.22,3569.22,12.0,22.254,-36.5,,
