second,time,loudness_db,onset,centroid_hz,flatness,zcr,low_db,low_onset,center_db,noncenter_db,impact_score,drum_score,swell_score,harsh_score,barrage_score,burden,center_advantage_db,timestamp
0,0.496,-98.26851749420166,0.0,201.86764404264872,0.9097642981942045,0.001312255859375,-98.3109712600708,0.0,-100.0,-98.52797746658325,18.0073078136838,-1.8084034767394843,0.0,58.96982905810978,-1.818030433955943,0.16269456618469968,-1.472022533416748,00:00:00.00
1,1.504,-42.06669825892295,1.3990085985391372,782.872953562578,0.0010568284060061542,0.06645350302419355,-42.54410669880529,0.6251272182430951,-100.0,-45.08581813689201,0.605082115293527,-0.14023390704640223,-0.44495242815143377,-0.22644606388047867,-0.5223247396815537,0.2709157892898602,-54.91418186310799,00:00:01.00
2,2.496,-38.22607028099798,0.7377567723874123,1083.3503169998187,0.0005389178963190305,0.107421875,-38.62684102212229,0.12806326222996559,-100.0,-41.238035386608495,-0.021809361497968572,-0.02220658566050822,-0.02181433359467039,0.15237137062794215,-0.3556036829843437,0.29368073523834304,-58.761964613391505,00:00:02.00
3,3.488,-45.776033832180886,0.6863800335314966,849.0584859753058,0.00037129304673139666,0.08311806955645161,-46.28121985158613,0.1605694164191523,-100.0,-48.789998208322835,-0.2988486207094618,-0.47917853934838683,-0.012414910667965658,-0.21768274344356592,-0.4285676678619781,0.2203750489659204,-51.210001791677165,00:00:03.00
4,4.496,-51.138949513435364,0.7264093169942498,891.9523195260037,0.0008750603201406193,0.08135986328125,-54.8890585899353,0.20123470714315772,-100.0,-54.142799854278564,-0.31791897443355543,-0.8091352162233829,-0.010269692495139864,-0.2587978306384674,-0.611675631749143,0.19928845892305072,-45.857200145721436,00:00:04.00
5,5.504,-46.213163437381866,1.2631233065359053,1808.5186046550868,0.016460464099392055,0.1641570060483871,-57.480311978247855,0.2961348583621363,-100.0,-49.214632834157634,1.090067812330519,-0.7181672676014966,-0.2784418286956555,1.7251061696575405,-0.32122946353953213,0.34022582630857945,-50.785367165842366,00:00:05.00
6,6.496,-39.49539129195675,1.052998049364936,3382.7116761765255,0.07621274272640867,0.4014616935483871,-55.860039618707475,0.4875986972643483,-100.0,-42.45724819552514,2.957624937738457,-0.6705486894784187,-0.22990278187074562,7.777294776037129,0.19769132296413575,0.40650319261921447,-57.54275180447486,00:00:06.00
7,7.4879999999999995,-68.86997616675592,0.28096249363114756,3646.7593200506585,0.009269796770005938,0.4922977570564516,-88.75550202400454,0.021084304778806625,-100.0,-71.86503231909967,0.22825725418605944,-1.6652469853999443,0.0,3.4045815314856145,-0.3490867944298338,0.24594811219615065,-28.134967680900328,00:00:07.00
8,8.496,-85.14227223396301,0.07992805633693933,3420.0869903511393,0.06311553198611364,0.3558197021484375,-99.17443513870239,0.003919110633432865,-100.0,-88.03111457824707,0.6940790648873921,-2.1895707546276184,0.0,5.952064364464678,-0.8763267132410105,0.22457820855408234,-11.96888542175293,00:00:08.00
9,9.504,-98.32847422938192,0.0034474768946247715,2945.2165283750232,0.5381353449436926,0.0779202368951613,-100.0,0.0,-100.0,-99.40882947368007,10.506583154810372,-2.3484930081281914,0.0,35.87243660233253,-1.3447400144161772,0.20233127926502203,-0.5911705263199345,00:00:09.00
10,10.496,-100.0,0.0,0.0,1.0000007152557373,0.0,-100.0,0.0,-100.0,-100.0,19.937410300277094,-2.323948709156505,0.0,64.86488640220531,-2.102923725179527,0.12092911654237466,0.0,00:00:10.00
11,11.488,-74.4555798192178,0.6561824448647038,962.1256154875426,0.23594819809941034,0.06067288306451613,-79.05587350168535,0.18477866197786025,-75.2529530679026,-76.07931690831339,4.444873256411764,-1.6964572376160048,-0.10418991448375885,15.001937871836184,-1.3373234844966433,0.10909120966594792,0.8263638404107863,00:00:11.00
12,12.496,-60.668145418167114,0.6997649688273668,1098.7979982768509,0.0043012540772906505,0.0783538818359375,-64.70447432994843,0.17107459716498852,-62.43804454803467,-62.78213608264923,-0.38164849524257466,-1.2652966636338256,-0.02022778633916737,-0.09747045670229514,-1.0126750554647983,0.10369536966489204,0.344091534614563,00:00:12.00
13,13.504,-58.03129159250567,0.6984533830996482,1055.8416170155378,0.0037680419139383783,0.0679655997983871,-62.32504370904738,0.19468473811303416,-59.53318060598066,-60.15814479704826,-0.37562012393807415,-1.2275488015088483,-0.009220588298700226,-0.16267373230302434,-0.9688558799622539,0.11553095081808003,0.6249641910676034,00:00:13.00
14,14.496,-56.14315734371062,0.6932211027991387,1038.3668827114743,0.00302760026252438,0.07165133568548387,-61.621805744786414,0.17630795461516227,-58.43300025693832,-58.270660646500126,-0.36749497369206513,-1.230246676626228,-0.01958084059027222,-0.17186909389583485,-0.9814556139817071,0.1264736634889461,-0.16233961043819303,00:00:14.00
15,15.488,-54.97395177041331,0.667704273616114,1059.8363169456811,0.0030827621493728892,0.07716418850806452,-61.043749655446696,0.18187287642109778,-57.48850139494865,-57.097393158943426,-0.3660904164246162,-1.2120193089807387,-0.008587807610351713,-0.11131518860419881,-0.955868463416626,0.133939162006279,-0.3911082360052293,00:00:15.00
16,16.496000000000002,-54.65684962272644,0.7000456070527434,1075.6509853704931,0.0036247966054361314,0.0768585205078125,-60.880419969558716,0.19833636609837413,-56.68195044994354,-56.77191781997681,-0.3060502481309392,-1.2052824478127044,-0.015747171185743758,-0.06361006290923528,-0.9431344999221254,0.14011342192856374,0.08996737003326416,00:00:16.00
17,17.504,-52.159965145972464,0.6979861374824278,1013.9339606144935,0.0024992877752670357,0.07240738407258064,-57.11722269365865,0.20971460015543045,-54.545143127441406,-54.271119886829005,-0.31372344882006886,-1.092750408080875,-0.01277719376867185,-0.15066835685129848,-0.9136946956800868,0.14912022002341635,-0.2740232406123992,00:00:17.00
18,18.496,-51.13923460437405,0.6497016510655803,981.9319690807229,0.002139154600069648,0.06072013608870968,-55.80582526422316,0.18943889943822736,-53.85038055912141,-53.24870275682019,-0.38607918880787184,-1.0540374844239724,-0.013760256659376847,-0.23161120228334478,-0.9044958081067792,0.15218430286773568,-0.6016778023012223,00:00:18.00
19,19.487999999999996,-51.957083917433216,0.6409102534094164,1011.6076983210578,0.0023432159871463816,0.06621723790322581,-57.84821134997952,0.18216618390813952,-54.6125612566548,-54.03774446056735,-0.39140089966915564,-1.116609904671622,-0.006269072278665637,-0.18948339935442468,-0.9146397556610066,0.14740447771072412,-0.5748167960874496,00:00:19.00
20,20.496000000000002,-53.61872899532318,0.6274984693154693,1073.5982998443994,0.003738178696949035,0.0785064697265625,-60.41901504993439,0.1779672857373953,-54.99477541446686,-55.7122015953064,-0.3731719140282929,-1.1964081222749976,-0.006086714093765052,-0.032013367229182896,-0.9270490436444104,0.1456521307520175,0.7174261808395386,00:00:20.00
21,21.504,-52.97058683826077,0.6823443251271402,1103.7890208329068,0.0039559711491869345,0.08141696068548387,-59.57576222573557,0.20897074764774692,-54.68388366699219,-55.04491289200321,-0.2801148385537254,-1.0567179387561763,-0.011231795066091463,0.02240096661856614,-0.8713754857963281,0.1562497193632805,0.3610292250110257,00:00:21.00
22,22.496,-52.535962996944306,0.6375122743268167,1024.2852012194753,0.0027812432099674498,0.06776083669354839,-56.55397353633757,0.19534820558563357,-54.62972948628087,-54.62374496459961,-0.390155352128346,-0.8972474308228332,-0.010524275462655882,-0.15574988090932113,-0.8801480719112588,0.16882757368679108,-0.005984521681262601,00:00:22.00
23,23.487999999999996,-34.46530920459378,0.7944592972916942,410.33853924863047,0.0005162970382145666,0.022161668346774195,-35.26974001238423,0.3382532216848866,-41.113672933270855,-35.05810386903824,-0.1639807575898594,-0.2587057843879522,-0.08837691711731226,-0.5417174221379961,-0.663924112140845,0.22557217452514197,-6.0555690642326105,00:00:23.00
24,24.496000000000002,-35.36928308010101,0.6553854010999203,332.7334233497054,4.651187697390924e-05,0.0131072998046875,-35.49928367137909,0.1727356279734522,-41.62956488132477,-36.54580461978912,-0.38839146186637785,-0.2635099488136469,-0.008789386330520725,-0.6709211645102058,-0.7003680664251875,0.2275430904994629,-5.0837602615356445,00:00:24.00
25,25.504,-37.69452199628276,0.6831936509378495,396.3355440545627,8.444289039377304e-05,0.015672253024193547,-37.90041437456685,0.192839823903576,-41.90347191595262,-40.710499302033455,-0.3727457332842986,-0.4480850857887239,-0.009843553041209306,-0.6621123739670948,-0.7271426118341283,0.20447076624288235,-1.1929726139191659,00:00:25.00
26,26.496,-39.10386300856067,0.6643329156983283,438.2524768869119,0.0001134619885687566,0.01760962701612903,-39.393942433018836,0.200697228793175,-42.24093246459961,-43.48369733748898,-0.4051843597225864,-0.5414769101510828,-0.0071253518993513055,-0.6528151225977908,-0.71670087889411,0.19480825831580392,1.242764872889365,00:00:26.00
27,27.487999999999996,-39.56703665948683,0.7346648295079509,483.0252471615481,0.00015399538449034275,0.018932711693548387,-39.912010438980595,0.210615579880053,-42.50584325482768,-43.9275143531061,-0.3137209781912193,-0.5348608046876252,-0.03207069326185956,-0.6289560179822109,-0.6571440327591814,0.20092555631310927,1.4216710982784149,00:00:27.00
